Họ Tên,MSSV,Khoa,Ngành,Lớp,Môn học,thoi_gian_tu_hoc,chuyen_can,diem_qua_trinh,hoan_thanh_bai_tap,loai_mon_hoc,tai_lieu_on_tap,hinh_thuc_thi,tre_hoc_phi,ho_tro,tre_hoc,hoc_nhom,lam_them,co_kinh_nghiem
Đặng Quang An,226A010298,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,74,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Có,Có
Đặng Gia Vinh,226A010299,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 1,54,100,4.8,60,Đại cương,Không,Tự luận,Không,Không,16,Có,Có,Không
Võ Minh Phúc,226A010300,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,84,50,8.8,100,Đại cương,Có,Trắc nghiệm,Không,Không,8,Có,Không,Không
Trần Ngọc Bình,226A010301,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,82,100,9.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Nguyễn Thành Vinh,226A010302,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,30,50,5.5,80,Chuyên ngành,Không,Trắc nghiệm,Không,Không,16,Có,Có,Có
Lê Văn Cường,226A010303,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,65,66,4.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Không
Lê Thành Hải,226A010304,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,70,100,9.5,100,Đại cương,Không,Tự luận,Không,Không,0,Không,Có,Không
Đặng Hữu Hưng,226A010305,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,67,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,11,Có,Không,Không
Lê Hữu Tùng,226A010306,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,61,100,8.5,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Không
Phạm Quang Hải,226A010307,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 1,37,33,9.3,35,Đại cương,Không,Trắc nghiệm,Có,Có,83,Không,Có,Có
Phạm Đức Sơn,226A010308,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,7,0,7.5,45,Chuyên ngành,Có,Trắc nghiệm,Có,Có,50,Có,Có,Có
Nguyễn Hữu Tùng,226A010309,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,13,33,8.8,65,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Không,Không,Không
Lê Ngọc Hải,226A010310,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 1,83,100,9.3,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Không
Hoàng Thái Quân,226A010311,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,25,50,3.8,25,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Không,Có
Huỳnh Minh Tùng,226A010312,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,62,100,8.5,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Nguyễn Hữu Vinh,226A010313,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,20,22,6.0,50,Chuyên ngành,Không,Tự luận,Không,Không,33,Không,Không,Có
Đặng Quang An,226A010314,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,89,100,9.5,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Không,Không
Phạm Anh Long,226A010315,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 1,23,16,8.5,35,Đại cương,Không,Tự luận,Có,Có,50,Có,Có,Có
Hoàng Minh Hưng,226A010316,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,81,100,9.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Huỳnh Hữu Quân,226A010317,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,65,100,7.3,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Có,Có
Bùi Thành An,226A010318,Kỹ thuật điện,Điện công nghiệp,226A005,Triết học Mác - Lênin - Nhóm 1,76,44,5.5,100,Đại cương,Có,Tự luận,Có,Không,0,Không,Không,Không
Bùi Gia Nam,226A010319,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,34,77,9.5,65,Chuyên ngành,Có,Trắc nghiệm,Có,Có,55,Không,Có,Không
Lê Thái Nam,226A010320,Công nghệ thông tin,An toàn thông tin,226A002,Pháp luật đại cương - Nhóm 1,75,100,8.5,100,Đại cương,Có,Tự luận,Không,Không,22,Có,Không,Có
Võ Ngọc Tùng,226A010321,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,96,0,7.8,100,Chuyên ngành,Không,Tự luận,Có,Có,75,Có,Không,Không
Lê Ngọc Dũng,226A010322,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 1,8,11,6.8,30,Đại cương,Không,Tự luận,Không,Không,100,Không,Không,Không
Phạm Minh Bình,226A010323,Công nghệ thông tin,Công nghệ phần mềm,226A001,Pháp luật đại cương - Nhóm 1,68,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Bùi Gia Tùng,226A010324,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 1,75,77,6.8,100,Đại cương,Có,Tự luận,Không,Không,11,Có,Không,Không
Hoàng Gia Bình,226A010325,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,22,16,7.0,40,Chuyên ngành,Không,Trắc nghiệm,Không,Không,100,Có,Không,Không
Huỳnh Thành An,226A010326,Ngoại ngữ,Ngôn ngữ Trung,226A004,Kỹ năng giao tiếp - Nhóm 1,39,11,6.3,80,Đại cương,Có,Tự luận,Không,Không,55,Có,Có,Có
Nguyễn Ngọc Bình,226A010327,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 1,65,100,8.0,100,Đại cương,Không,Trắc nghiệm,Không,Không,16,Không,Không,Không
Huỳnh Hữu Cường,226A010328,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 1,81,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,0,Không,Không,Không
Trần Minh Dũng,226A010329,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,30,66,3.8,40,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Có,Có
Phạm Văn Vinh,226A010330,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 1,63,50,8.8,100,Đại cương,Không,Trắc nghiệm,Có,Có,16,Có,Không,Không
Lê Ngọc Phúc,226A010331,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,41,83,0.0,55,Chuyên ngành,Có,Trắc nghiệm,Có,Không,0,Không,Có,Không
Nguyễn Thành An,226A010332,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,72,100,10.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,8,Có,Có,Không
Hoàng Ngọc Cường,226A010333,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,18,11,6.8,55,Chuyên ngành,Không,Tự luận,Không,Không,33,Không,Không,Không
Đỗ Ngọc Vinh,226A010334,Kỹ thuật điện,Điện dân dụng,226A005,Pháp luật đại cương - Nhóm 1,68,100,9.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,22,Không,Có,Không
Nguyễn Minh Vinh,226A010335,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,63,100,9.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Võ Văn Hưng,226A010336,Cơ khí,Chế tạo máy,226A005,Pháp luật đại cương - Nhóm 1,3,11,2.0,25,Đại cương,Có,Tự luận,Không,Không,66,Không,Không,Có
Đỗ Quang Cường,226A010337,Ngoại ngữ,Ngôn ngữ Trung,226A004,Triết học Mác - Lênin - Nhóm 1,11,33,1.3,25,Đại cương,Không,Tự luận,Không,Không,33,Có,Có,Có
Võ Quang Khang,226A010338,Cơ khí,Chế tạo máy,226A005,Vật lý đại cương - Nhóm 1,68,77,4.0,100,Đại cương,Có,Tự luận,Không,Không,11,Có,Có,Có
Bùi Gia Long,226A010339,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 1,68,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Không,Có,Không
Nguyễn Đức Phúc,226A010340,Công nghệ thông tin,Công nghệ phần mềm,226A001,Toán cao cấp - Nhóm 1,25,0,7.8,30,Đại cương,Không,Trắc nghiệm,Không,Không,33,Có,Không,Có
Nguyễn Thái Khang,226A010341,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,77,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Trần Thành Khang,226A010342,Ngoại ngữ,Ngôn ngữ Anh,226A003,Biên dịch - Nhóm 1,87,100,8.0,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Không,Có
Phạm Văn Vinh,226A010343,Ngoại ngữ,Ngôn ngữ Anh,226A003,Kỹ năng giao tiếp - Nhóm 1,72,100,9.5,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Không,Không,Không
Võ Ngọc Dũng,226A010344,Công nghệ thông tin,An toàn thông tin,226A002,Toán cao cấp - Nhóm 1,78,58,4.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Có
Hoàng Hữu Cường,226A010345,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 1,84,100,8.3,100,Đại cương,Không,Trắc nghiệm,Không,Không,0,Có,Có,Không
Bùi Minh Nam,226A010346,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,76,100,8.8,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Không,Có,Có
Võ Đức Hưng,226A010347,Kỹ thuật điện,Điện công nghiệp,226A005,Vật lý đại cương - Nhóm 1,26,50,2.8,35,Đại cương,Có,Tự luận,Không,Không,16,Không,Có,Có
Đặng Quang Tùng,226A010348,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 1,14,100,9.5,35,Đại cương,Không,Trắc nghiệm,Có,Có,66,Không,Có,Có
Võ Đức Long,226A010349,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,55,33,4.3,60,Chuyên ngành,Có,Trắc nghiệm,Không,Không,50,Có,Không,Không
Nguyễn Thành Phúc,226A010350,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,28,50,5.8,55,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Võ Thành Phúc,226A010351,Ngoại ngữ,Ngôn ngữ Trung,226A004,Pháp luật đại cương - Nhóm 1,82,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Không,Có
Bùi Anh Dũng,226A010352,Ngoại ngữ,Ngôn ngữ Trung,226A004,Toán cao cấp - Nhóm 1,7,44,0.0,25,Đại cương,Không,Tự luận,Không,Không,66,Có,Không,Không
Lê Đức Phúc,226A010353,Kỹ thuật điện,Điện công nghiệp,226A005,Pháp luật đại cương - Nhóm 1,15,44,6.8,20,Đại cương,Không,Trắc nghiệm,Không,Không,100,Có,Không,Có
Trần Quang Hải,226A010354,Kỹ thuật điện,Điện dân dụng,226A005,Triết học Mác - Lênin - Nhóm 1,87,100,9.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Hoàng Ngọc Vinh,226A010355,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,100,16,6.0,100,Chuyên ngành,Không,Tự luận,Không,Không,83,Không,Không,Không
Phạm Anh Dũng,226A010356,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,99,22,2.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,44,Không,Có,Có
Bùi Ngọc Hưng,226A010357,Công nghệ thông tin,An toàn thông tin,226A002,Vật lý đại cương - Nhóm 1,8,16,6.3,40,Đại cương,Có,Tự luận,Không,Không,66,Không,Không,Không
Hoàng Thành An,226A010358,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,92,91,9.8,100,Chuyên ngành,Không,Trắc nghiệm,Có,Không,0,Không,Có,Có
Nguyễn Anh Nam,226A010359,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 1,1,0,1.5,35,Đại cương,Không,Trắc nghiệm,Không,Không,50,Có,Có,Có
Trần Thái Hưng,226A010360,Cơ khí,Chế tạo máy,226A005,Triết học Mác - Lênin - Nhóm 1,75,100,8.0,100,Đại cương,Có,Tự luận,Có,Không,16,Không,Có,Không
Trần Hữu Nam,226A010361,Cơ khí,Tự động hoá,226A005,Triết học Mác - Lênin - Nhóm 1,68,100,9.5,100,Đại cương,Không,Trắc nghiệm,Không,Không,0,Có,Không,Không
Trần Thái Hải,226A010362,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,86,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,11,Có,Không,Có
Huỳnh Gia An,226A010363,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,75,100,8.3,100,Chuyên ngành,Không,Tự luận,Không,Không,16,Có,Có,Có
Phạm Thái Tùng,226A010364,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,70,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Không,Không
Nguyễn Văn Hải,226A010365,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,75,100,9.5,100,Chuyên ngành,Có,Tự luận,Không,Không,8,Có,Không,Có
Nguyễn Thái Khang,226A010366,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,85,100,8.0,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,16,Có,Không,Có
Võ Gia Tùng,226A010367,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,70,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Không,Không
Trần Đức Nam,226A010368,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,69,100,8.5,100,Chuyên ngành,Không,Tự luận,Không,Không,0,Có,Không,Không
Hoàng Thành Sơn,226A010369,Kỹ thuật điện,Điện công nghiệp,226A005,Máy điện - Nhóm 1,70,100,10.0,100,Chuyên ngành,Có,Tự luận,Không,Không,16,Không,Không,Có
Lê Minh Dũng,226A010370,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,69,88,2.8,100,Chuyên ngành,Không,Trắc nghiệm,Có,Có,100,Có,Không,Có
Lê Hữu Quân,226A010371,Kỹ thuật điện,Điện dân dụng,226A005,Pháp luật đại cương - Nhóm 1,22,0,7.5,30,Đại cương,Có,Trắc nghiệm,Không,Không,91,Không,Có,Không
Trần Văn Quân,226A010372,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,0,33,8.3,65,Chuyên ngành,Có,Trắc nghiệm,Có,Không,100,Có,Có,Không
Hoàng Thành Hưng,226A010373,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,84,100,7.3,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Không
Huỳnh Minh Long,226A010374,Công nghệ thông tin,An toàn thông tin,226A002,Triết học Mác - Lênin - Nhóm 1,63,100,10.0,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Không,Có
Phạm Quang Sơn,226A010375,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,38,100,9.0,60,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Không
Trần Ngọc Phúc,226A010376,Kỹ thuật điện,Điện dân dụng,226A005,Mạch điện cơ bản - Nhóm 1,20,77,7.3,20,Chuyên ngành,Không,Trắc nghiệm,Không,Không,0,Có,Không,Có
Huỳnh Thành An,226A010377,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 1,90,100,9.3,100,Đại cương,Có,Tự luận,Không,Không,16,Có,Có,Có
Đặng Đức Quân,226A010378,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,54,100,8.0,90,Chuyên ngành,Có,Tự luận,Không,Không,0,Không,Có,Có
Hoàng Gia Long,226A010379,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,97,66,8.3,100,Chuyên ngành,Có,Tự luận,Có,Không,50,Có,Có,Có
Đặng Văn Hưng,226A010380,Kỹ thuật điện,Điện công nghiệp,226A005,Cung cấp điện - Nhóm 1,38,66,6.0,40,Chuyên ngành,Có,Trắc nghiệm,Không,Không,16,Có,Không,Có
Nguyễn Minh Tùng,226A010381,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,76,100,5.5,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Không,Không
Đỗ Minh Dũng,226A010382,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,84,100,9.0,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Có,Không
Phạm Minh Sơn,226A010383,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,80,100,8.3,100,Chuyên ngành,Có,Tự luận,Không,Không,0,Có,Không,Có
Hoàng Gia Sơn,226A010384,Công nghệ thông tin,Công nghệ phần mềm,226A001,Triết học Mác - Lênin - Nhóm 1,25,11,7.5,35,Đại cương,Có,Trắc nghiệm,Không,Không,77,Không,Có,Có
Hoàng Thành Hải,226A010385,Cơ khí,Chế tạo máy,226A005,Toán cao cấp - Nhóm 1,22,33,8.8,20,Đại cương,Có,Trắc nghiệm,Không,Không,33,Không,Có,Có
Nguyễn Gia Hải,226A010386,Cơ khí,Chế tạo máy,226A005,Công nghệ CNC - Nhóm 1,25,22,3.5,40,Chuyên ngành,Có,Tự luận,Có,Không,55,Không,Không,Không
Phạm Văn Quân,226A010387,Công nghệ thông tin,An toàn thông tin,226A002,Kỹ năng giao tiếp - Nhóm 1,10,100,5.5,35,Đại cương,Không,Tự luận,Có,Không,16,Không,Không,Có
Hoàng Anh Vinh,226A010388,Ngoại ngữ,Ngôn ngữ Anh,226A003,Ngữ âm học - Nhóm 1,3,0,2.8,70,Chuyên ngành,Có,Tự luận,Không,Không,83,Không,Có,Có
Bùi Thái Phúc,226A010389,Cơ khí,Tự động hoá,226A005,Pháp luật đại cương - Nhóm 1,3,0,7.0,30,Đại cương,Có,Tự luận,Không,Không,66,Không,Có,Không
Võ Quang An,226A010390,Cơ khí,Chế tạo máy,226A005,Cơ học lý thuyết - Nhóm 1,75,100,7.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Không,Không,Có
Đỗ Quang Dũng,226A010391,Cơ khí,Chế tạo máy,226A005,Kỹ năng giao tiếp - Nhóm 1,6,0,0.0,65,Đại cương,Không,Tự luận,Không,Không,83,Không,Không,Có
Huỳnh Minh Tùng,226A010392,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,95,16,1.8,100,Chuyên ngành,Có,Tự luận,Không,Không,100,Có,Không,Có
Võ Hữu Cường,226A010393,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kiến trúc phần mềm - Nhóm 1,1,41,7.0,40,Chuyên ngành,Có,Trắc nghiệm,Không,Không,100,Không,Có,Có
Đỗ Thành An,226A010394,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,78,100,9.5,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,16,Có,Có,Có
Lê Thái Nam,226A010395,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,42,100,9.5,55,Chuyên ngành,Có,Tự luận,Không,Không,16,Có,Không,Không
Bùi Thái Cường,226A010396,Kỹ thuật điện,Điện dân dụng,226A005,Vật liệu điện - Nhóm 1,70,91,3.8,100,Chuyên ngành,Không,Trắc nghiệm,Có,Có,58,Có,Không,Có
Huỳnh Văn Sơn,226A010397,Cơ khí,Tự động hoá,226A005,Hệ thống nhúng - Nhóm 1,69,100,8.8,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,22,Không,Có,Có
Đặng Hữu Vinh,226A010398,Kỹ thuật điện,Điện công nghiệp,226A005,Truyền động điện - Nhóm 1,66,100,5.3,100,Chuyên ngành,Không,Trắc nghiệm,Không,Không,16,Không,Không,Không
Huỳnh Hữu Bình,226A010399,Cơ khí,Tự động hoá,226A005,Kỹ năng giao tiếp - Nhóm 1,73,100,6.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Không,Có,Có
Huỳnh Quang Nam,226A010400,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,18,100,6.0,50,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Không,Có,Không
Võ Hữu Hưng,226A010401,Kỹ thuật điện,Điện dân dụng,226A005,An toàn điện - Nhóm 1,24,22,6.8,45,Chuyên ngành,Không,Tự luận,Không,Không,55,Không,Không,Không
Bùi Văn Tùng,226A010402,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,80,33,5.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,100,Có,Không,Có
Bùi Minh Sơn,226A010403,Kỹ thuật điện,Điện công nghiệp,226A005,Vật lý đại cương - Nhóm 1,63,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Không,Không
Đặng Gia An,226A010404,Cơ khí,Chế tạo máy,226A005,Vật lý đại cương - Nhóm 1,21,33,4.8,40,Đại cương,Có,Tự luận,Không,Không,55,Có,Có,Có
Phạm Ngọc Vinh,226A010405,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 1,22,33,5.5,55,Đại cương,Có,Trắc nghiệm,Không,Không,50,Không,Không,Không
Lê Ngọc Tùng,226A010406,Công nghệ thông tin,Công nghệ phần mềm,226A001,Toán cao cấp - Nhóm 1,83,100,8.8,100,Đại cương,Không,Tự luận,Không,Không,11,Có,Không,Có
Đỗ Gia Sơn,226A010407,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,66,22,5.5,100,Chuyên ngành,Có,Trắc nghiệm,Có,Có,0,Có,Có,Có
Hoàng Thái Dũng,226A010408,Cơ khí,Chế tạo máy,226A005,Chi tiết máy - Nhóm 1,75,100,6.8,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,22,Có,Có,Không
Bùi Thành An,226A010409,Cơ khí,Tự động hoá,226A005,Lập trình PLC - Nhóm 1,71,100,8.3,100,Chuyên ngành,Có,Trắc nghiệm,Có,Không,22,Có,Không,Không
Trần Thái Dũng,226A010410,Công nghệ thông tin,Công nghệ phần mềm,226A001,Cấu trúc dữ liệu - Nhóm 1,87,100,8.5,100,Chuyên ngành,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Đỗ Minh Vinh,226A010411,Công nghệ thông tin,An toàn thông tin,226A002,Pháp lý ATTT - Nhóm 1,29,33,6.8,60,Chuyên ngành,Không,Trắc nghiệm,Không,Không,83,Không,Không,Không
Lê Thái Cường,226A010412,Ngoại ngữ,Ngôn ngữ Trung,226A004,Toán cao cấp - Nhóm 1,54,88,1.5,40,Đại cương,Có,Tự luận,Có,Có,55,Có,Có,Có
Võ Thái Khang,226A010413,Cơ khí,Tự động hoá,226A005,Điều khiển tự động - Nhóm 1,4,83,2.5,60,Chuyên ngành,Không,Trắc nghiệm,Không,Không,100,Không,Có,Có
Đặng Minh Cường,226A010414,Kỹ thuật điện,Điện công nghiệp,226A005,Vật lý đại cương - Nhóm 1,69,100,8.8,100,Đại cương,Có,Tự luận,Không,Không,0,Có,Có,Không
Trần Gia Nam,226A010415,Công nghệ thông tin,Công nghệ phần mềm,226A001,Lập trình Web - Nhóm 1,22,44,9.0,25,Chuyên ngành,Không,Trắc nghiệm,Có,Có,100,Không,Có,Không
Trần Hữu Long,226A010416,Kỹ thuật điện,Điện công nghiệp,226A005,Toán cao cấp - Nhóm 1,85,100,8.5,100,Đại cương,Có,Trắc nghiệm,Có,Không,16,Có,Không,Có
Đặng Quang Nam,226A010417,Cơ khí,Tự động hoá,226A005,Vật lý đại cương - Nhóm 1,82,22,6.8,100,Đại cương,Không,Tự luận,Không,Không,100,Có,Không,Không
Lê Thành Hưng,226A010418,Ngoại ngữ,Ngôn ngữ Trung,226A004,Văn hóa Trung Quốc - Nhóm 1,18,16,6.8,40,Chuyên ngành,Có,Tự luận,Không,Không,83,Có,Không,Không
Nguyễn Văn Phúc,226A010419,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,68,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Không,Không,Không
Phạm Anh Hưng,226A010420,Công nghệ thông tin,An toàn thông tin,226A002,An ninh mạng - Nhóm 1,31,100,5.5,20,Chuyên ngành,Không,Trắc nghiệm,Không,Không,11,Không,Không,Không
Huỳnh Hữu Long,226A010421,Kỹ thuật điện,Điện dân dụng,226A005,Toán cao cấp - Nhóm 1,61,50,7.0,100,Đại cương,Không,Trắc nghiệm,Không,Không,8,Có,Không,Không
Lê Anh Hải,226A010422,Cơ khí,Tự động hoá,226A005,Triết học Mác - Lênin - Nhóm 1,17,11,9.0,70,Đại cương,Có,Tự luận,Không,Không,22,Không,Không,Không
Nguyễn Anh Vinh,226A010423,Ngoại ngữ,Ngôn ngữ Trung,226A004,Vật lý đại cương - Nhóm 1,76,50,6.0,100,Đại cương,Có,Trắc nghiệm,Không,Không,0,Có,Có,Không
Lê Anh Bình,226A010424,Ngoại ngữ,Ngôn ngữ Trung,226A004,Nghe nói tiếng Trung - Nhóm 1,35,75,3.8,25,Chuyên ngành,Có,Trắc nghiệm,Có,Có,25,Có,Có,Không
Lê Đức Hưng,226A010425,Kỹ thuật điện,Điện dân dụng,226A005,Vật lý đại cương - Nhóm 1,68,100,8.3,100,Đại cương,Có,Trắc nghiệm,Không,Không,25,Không,Có,Có
Đặng Thái Sơn,226A010426,Ngoại ngữ,Ngôn ngữ Trung,226A004,Hán tự cơ bản - Nhóm 1,64,100,8.8,100,Chuyên ngành,Có,Tự luận,Không,Không,25,Có,Có,Có
Đỗ Quang Long,226A010427,Công nghệ thông tin,Công nghệ phần mềm,226A001,Kỹ năng giao tiếp - Nhóm 1,37,66,9.5,55,Đại cương,Không,Tự luận,Có,Không,91,Có,Có,Có
Nguyễn Đức Nam,226A010428,Công nghệ thông tin,Công nghệ phần mềm,226A001,Triết học Mác - Lênin - Nhóm 1,16,16,3.5,50,Đại cương,Không,Tự luận,Không,Không,91,Không,Có,Có
